filename,label,location,text_description
32.jpg,Abnormal_Tide,Chennai Marina,Sea level behaving abnormally at Chennai Marina
33.jpg,no_hazard,Kochi Harbor,"Tourists enjoying the beach at Kochi Harbor, everything normal"
34.jpg,Storm_Surge,Andaman Islands,Waves reaching inland houses near Andaman Islands due to cyclone surge
35.jpg,no_hazard,Mangalore Coast,"Sunny weather at Mangalore Coast, peaceful situation"
36.jpg,Flood,Tuticorin Coast,Shops and houses submerged in water near Tuticorin Coast
37.jpg,Tsunami,Rameswaram Shore,Earthquake tremors followed by sea water rushing in at Rameswaram Shore
38.jpg,Flood,Puri Beach,Flooding reported in low lying areas of Puri Beach
39.jpg,no_hazard,Nicobar Islands,"A calm evening at Nicobar Islands, no hazard observed"
40.jpg,Storm_Surge,Tuticorin Coast,Strong winds pushing seawater inland near Tuticorin Coast
41.jpg,Storm_Surge,Goa Beach,"Cyclone impact causing storm surge at Goa Beach, water levels rising fast"
42.jpg,no_hazard,Diu Beach,"Sunny weather at Diu Beach, peaceful situation"
43.jpg,High_Waves,Odisha Coast,"Huge waves crashing near Odisha Coast, boats overturned"
44.jpg,Storm_Surge,Kanyakumari Beach,"Dangerous storm surge observed at Kanyakumari Beach, authorities alerted"
45.jpg,Storm_Surge,Odisha Coast,"Dangerous storm surge observed at Odisha Coast, authorities alerted"
46.jpg,Storm_Surge,Visakhapatnam,"Dangerous storm surge observed at Visakhapatnam, authorities alerted"
47.jpg,no_hazard,Marina beach Chennai,"A calm evening at Marina beach Chennai, no hazard observed"
48.jpg,Storm_Surge,Chennai Marina,"Cyclone impact causing storm surge at Chennai Marina, water levels rising fast"
49.jpg,Storm_Surge,Kolkata Coast,"Dangerous storm surge observed at Kolkata Coast, authorities alerted"
50.jpg,Storm_Surge,Kolkata Coast,Strong winds pushing seawater inland near Kolkata Coast
51.jpg,no_hazard,Marina beach Chennai,"Fishing boats operating safely at Marina beach Chennai, no hazard reported"
52.jpg,Abnormal_Tide,Diu Beach,Unusual tide patterns observed at Diu Beach
53.jpg,Storm_Surge,Goa Beach,Waves reaching inland houses near Goa Beach due to cyclone surge
54.jpg,no_hazard,Diu Beach,"Sunny weather at Diu Beach, peaceful situation"
55.jpg,Abnormal_Tide,Kochi Harbor,Sea level behaving abnormally at Kochi Harbor
56.jpg,no_hazard,Andaman Islands,"Fishing boats operating safely at Andaman Islands, no hazard reported"
57.jpg,no_hazard,Nagapattinam,"Sunny weather at Nagapattinam, peaceful situation"
58.jpg,no_hazard,Tuticorin Coast,"Fishing boats operating safely at Tuticorin Coast, no hazard reported"
59.jpg,Flood,Marina beach Chennai,Shops and houses submerged in water near Marina beach Chennai
60.jpg,Abnormal_Tide,Rameswaram Shore,Fishermen report unusual tidal activity near Rameswaram Shore
61.jpg,Tsunami,Rameswaram Shore,Tsunami warning issued after unusual waves at Rameswaram Shore
62.jpg,Abnormal_Tide,Nagapattinam,Unusual tide patterns observed at Nagapattinam
63.jpg,Tsunami,Diu Beach,People evacuating Diu Beach due to tsunami threat
64.jpg,no_hazard,Andaman Islands,"Tourists enjoying the beach at Andaman Islands, everything normal"
65.jpg,no_hazard,Tuticorin Coast,"Sunny weather at Tuticorin Coast, peaceful situation"
66.jpg,Tsunami,Mangalore Coast,People evacuating Mangalore Coast due to tsunami threat
67.jpg,Storm_Surge,Chennai Marina,"Cyclone impact causing storm surge at Chennai Marina, water levels rising fast"
68.jpg,Storm_Surge,Andaman Islands,Strong winds pushing seawater inland near Andaman Islands
69.jpg,High_Waves,Odisha Coast,Unusually strong currents observed at Odisha Coast
70.jpg,Flood,Pondicherry Beach,Seawater entered houses near Pondicherry Beach after heavy rainfall
71.jpg,no_hazard,Odisha Coast,"Tourists enjoying the beach at Odisha Coast, everything normal"
72.jpg,Flood,Lakshadweep Islands,Roads flooded around Lakshadweep Islands due to rising sea levels
73.jpg,Flood,Marina beach Chennai,Flooding reported in low lying areas of Marina beach Chennai
74.jpg,Flood,Chennai Marina,Shops and houses submerged in water near Chennai Marina
75.jpg,Abnormal_Tide,Kanyakumari Beach,Unusual tide patterns observed at Kanyakumari Beach
76.jpg,High_Waves,Andaman Islands,"Huge waves crashing near Andaman Islands, boats overturned"
77.jpg,Tsunami,Marina beach Chennai,"Sudden rise of sea water near Marina beach Chennai, tsunami suspected"
78.jpg,Flood,Chennai Marina,Flooding reported in low lying areas of Chennai Marina
79.jpg,no_hazard,Kovalam Beach Kerala,"Tourists enjoying the beach at Kovalam Beach Kerala, everything normal"
80.jpg,no_hazard,Kochi Harbor,"Sunny weather at Kochi Harbor, peaceful situation"
81.jpg,Flood,Rameswaram Shore,Seawater entered houses near Rameswaram Shore after heavy rainfall
82.jpg,Flood,Rameswaram Shore,Roads flooded around Rameswaram Shore due to rising sea levels
83.jpg,Flood,Andaman Islands,Seawater entered houses near Andaman Islands after heavy rainfall
84.jpg,Flood,Diu Beach,Shops and houses submerged in water near Diu Beach
85.jpg,High_Waves,Diu Beach,"Huge waves crashing near Diu Beach, boats overturned"
86.jpg,High_Waves,Visakhapatnam,"Huge waves crashing near Visakhapatnam, boats overturned"
87.jpg,High_Waves,Nicobar Islands,"Huge waves crashing near Nicobar Islands, boats overturned"
88.jpg,High_Waves,Tuticorin Coast,High tides making fishing risky at Tuticorin Coast
89.jpg,Tsunami,Marina beach Chennai,Tsunami warning issued after unusual waves at Marina beach Chennai
90.jpg,Tsunami,Nagapattinam,Tsunami warning issued after unusual waves at Nagapattinam
91.jpg,Storm_Surge,Visakhapatnam,Waves reaching inland houses near Visakhapatnam due to cyclone surge
92.jpg,Storm_Surge,Kochi Harbor,Waves reaching inland houses near Kochi Harbor due to cyclone surge
93.jpg,no_hazard,Visakhapatnam,"Fishing boats operating safely at Visakhapatnam, no hazard reported"
94.jpg,Tsunami,Chennai Marina,Earthquake tremors followed by sea water rushing in at Chennai Marina
95.jpg,no_hazard,Kovalam Beach Kerala,"Fishing boats operating safely at Kovalam Beach Kerala, no hazard reported"
96.jpg,Abnormal_Tide,Marina beach Chennai,Sea level behaving abnormally at Marina beach Chennai
97.jpg,Storm_Surge,Kochi Harbor,"Dangerous storm surge observed at Kochi Harbor, authorities alerted"
98.jpg,High_Waves,Kanyakumari Beach,"Strong waves hitting the shore at Kanyakumari Beach, people moving inland"
99.jpg,no_hazard,Goa Beach,"Sunny weather at Goa Beach, peaceful situation"
100.jpg,Flood,Visakhapatnam,Roads flooded around Visakhapatnam due to rising sea levels
101.jpg,Flood,Lakshadweep Islands,Roads flooded around Lakshadweep Islands due to rising sea levels
102.jpg,Storm_Surge,Diu Beach,Waves reaching inland houses near Diu Beach due to cyclone surge
103.jpg,no_hazard,Kochi Harbor,"Fishing boats operating safely at Kochi Harbor, no hazard reported"
104.jpg,Storm_Surge,Kolkata Coast,Waves reaching inland houses near Kolkata Coast due to cyclone surge
105.jpg,Tsunami,Goa Beach,"Sudden rise of sea water near Goa Beach, tsunami suspected"
106.jpg,Storm_Surge,Kolkata Coast,"Dangerous storm surge observed at Kolkata Coast, authorities alerted"
107.jpg,no_hazard,Kovalam Beach Kerala,"Sunny weather at Kovalam Beach Kerala, peaceful situation"
108.jpg,Flood,Kochi Harbor,Shops and houses submerged in water near Kochi Harbor
109.jpg,no_hazard,Lakshadweep Islands,"A calm evening at Lakshadweep Islands, no hazard observed"
110.jpg,High_Waves,Kolkata Coast,"Strong waves hitting the shore at Kolkata Coast, people moving inland"
111.jpg,no_hazard,Andaman Islands,"A calm evening at Andaman Islands, no hazard observed"
112.jpg,Tsunami,Odisha Coast,"Sudden rise of sea water near Odisha Coast, tsunami suspected"
113.jpg,Storm_Surge,Mumbai Coast,Strong winds pushing seawater inland near Mumbai Coast
114.jpg,Tsunami,Nagapattinam,"Sudden rise of sea water near Nagapattinam, tsunami suspected"
115.jpg,no_hazard,Kanyakumari Beach,"Tourists enjoying the beach at Kanyakumari Beach, everything normal"
116.jpg,Storm_Surge,Visakhapatnam,"Dangerous storm surge observed at Visakhapatnam, authorities alerted"
117.jpg,High_Waves,Rameswaram Shore,Unusually strong currents observed at Rameswaram Shore
118.jpg,High_Waves,Mumbai Coast,High tides making fishing risky at Mumbai Coast
119.jpg,Abnormal_Tide,Odisha Coast,Sudden drop and rise in tides noticed at Odisha Coast
120.jpg,Abnormal_Tide,Marina beach Chennai,Fishermen report unusual tidal activity near Marina beach Chennai
121.jpg,Abnormal_Tide,Kolkata Coast,Unusual tide patterns observed at Kolkata Coast
122.jpg,Tsunami,Diu Beach,Tsunami warning issued after unusual waves at Diu Beach
123.jpg,Tsunami,Kochi Harbor,Earthquake tremors followed by sea water rushing in at Kochi Harbor
124.jpg,Abnormal_Tide,Odisha Coast,Unusual tide patterns observed at Odisha Coast
125.jpg,Storm_Surge,Tuticorin Coast,"Dangerous storm surge observed at Tuticorin Coast, authorities alerted"
126.jpg,no_hazard,Kolkata Coast,"A calm evening at Kolkata Coast, no hazard observed"
127.jpg,no_hazard,Visakhapatnam,"Fishing boats operating safely at Visakhapatnam, no hazard reported"
128.jpg,Flood,Mangalore Coast,Flooding reported in low lying areas of Mangalore Coast
129.jpg,Flood,Odisha Coast,Roads flooded around Odisha Coast due to rising sea levels
130.jpg,Storm_Surge,Visakhapatnam,"Cyclone impact causing storm surge at Visakhapatnam, water levels rising fast"
131.jpg,Tsunami,Rameswaram Shore,"Sudden rise of sea water near Rameswaram Shore, tsunami suspected"
132.jpg,Tsunami,Andaman Islands,Earthquake tremors followed by sea water rushing in at Andaman Islands
133.jpg,Storm_Surge,Nagapattinam,"Cyclone impact causing storm surge at Nagapattinam, water levels rising fast"
134.jpg,Abnormal_Tide,Mangalore Coast,Sea level behaving abnormally at Mangalore Coast
135.jpg,Storm_Surge,Mumbai Coast,Waves reaching inland houses near Mumbai Coast due to cyclone surge
136.jpg,Storm_Surge,Chennai Marina,Strong winds pushing seawater inland near Chennai Marina
137.jpg,High_Waves,Nagapattinam,"Strong waves hitting the shore at Nagapattinam, people moving inland"
138.jpg,Abnormal_Tide,Diu Beach,Sudden drop and rise in tides noticed at Diu Beach
139.jpg,Abnormal_Tide,Kolkata Coast,Sea level behaving abnormally at Kolkata Coast
140.jpg,no_hazard,Kochi Harbor,"Sunny weather at Kochi Harbor, peaceful situation"
141.jpg,no_hazard,Odisha Coast,"A calm evening at Odisha Coast, no hazard observed"
142.jpg,Tsunami,Odisha Coast,People evacuating Odisha Coast due to tsunami threat
143.jpg,Flood,Chennai Marina,Flooding reported in low lying areas of Chennai Marina
144.jpg,Tsunami,Andaman Islands,Tsunami warning issued after unusual waves at Andaman Islands
145.jpg,Storm_Surge,Goa Beach,Strong winds pushing seawater inland near Goa Beach
146.jpg,Abnormal_Tide,Kochi Harbor,Fishermen report unusual tidal activity near Kochi Harbor
147.jpg,High_Waves,Puri Beach,Unusually strong currents observed at Puri Beach
148.jpg,no_hazard,Rameswaram Shore,"Tourists enjoying the beach at Rameswaram Shore, everything normal"
149.jpg,no_hazard,Goa Beach,"Fishing boats operating safely at Goa Beach, no hazard reported"
150.jpg,Abnormal_Tide,Rameswaram Shore,Sea level behaving abnormally at Rameswaram Shore
151.jpg,Storm_Surge,Marina beach Chennai,Waves reaching inland houses near Marina beach Chennai due to cyclone surge
152.jpg,Tsunami,Kanyakumari Beach,"Sudden rise of sea water near Kanyakumari Beach, tsunami suspected"
153.jpg,Abnormal_Tide,Nicobar Islands,Sudden drop and rise in tides noticed at Nicobar Islands
154.jpg,Tsunami,Chennai Marina,Earthquake tremors followed by sea water rushing in at Chennai Marina
155.jpg,Tsunami,Mangalore Coast,"Sudden rise of sea water near Mangalore Coast, tsunami suspected"
156.jpg,Abnormal_Tide,Goa Beach,Unusual tide patterns observed at Goa Beach
157.jpg,Storm_Surge,Lakshadweep Islands,"Dangerous storm surge observed at Lakshadweep Islands, authorities alerted"
158.jpg,no_hazard,Mumbai Coast,"Tourists enjoying the beach at Mumbai Coast, everything normal"
159.jpg,High_Waves,Kanyakumari Beach,"Strong waves hitting the shore at Kanyakumari Beach, people moving inland"
160.jpg,Tsunami,Kolkata Coast,People evacuating Kolkata Coast due to tsunami threat
161.jpg,no_hazard,Kolkata Coast,"Fishing boats operating safely at Kolkata Coast, no hazard reported"
162.jpg,Flood,Mumbai Coast,Flooding reported in low lying areas of Mumbai Coast
163.jpg,Storm_Surge,Lakshadweep Islands,"Cyclone impact causing storm surge at Lakshadweep Islands, water levels rising fast"
164.jpg,no_hazard,Andaman Islands,"A calm evening at Andaman Islands, no hazard observed"
165.jpg,Flood,Mumbai Coast,Shops and houses submerged in water near Mumbai Coast
166.jpg,no_hazard,Marina beach Chennai,"Tourists enjoying the beach at Marina beach Chennai, everything normal"
167.jpg,Tsunami,Lakshadweep Islands,People evacuating Lakshadweep Islands due to tsunami threat
168.jpg,Storm_Surge,Kolkata Coast,Strong winds pushing seawater inland near Kolkata Coast
169.jpg,Tsunami,Kanyakumari Beach,Tsunami warning issued after unusual waves at Kanyakumari Beach
170.jpg,Tsunami,Chennai Marina,Tsunami warning issued after unusual waves at Chennai Marina
171.jpg,Storm_Surge,Lakshadweep Islands,Waves reaching inland houses near Lakshadweep Islands due to cyclone surge
172.jpg,High_Waves,Marina beach Chennai,"Strong waves hitting the shore at Marina beach Chennai, people moving inland"
173.jpg,Abnormal_Tide,Nicobar Islands,Fishermen report unusual tidal activity near Nicobar Islands
174.jpg,High_Waves,Kochi Harbor,"Strong waves hitting the shore at Kochi Harbor, people moving inland"
175.jpg,High_Waves,Kanyakumari Beach,"Strong waves hitting the shore at Kanyakumari Beach, people moving inland"
176.jpg,Storm_Surge,Tuticorin Coast,Strong winds pushing seawater inland near Tuticorin Coast
177.jpg,no_hazard,Kolkata Coast,"Tourists enjoying the beach at Kolkata Coast, everything normal"
178.jpg,Storm_Surge,Nicobar Islands,"Dangerous storm surge observed at Nicobar Islands, authorities alerted"
179.jpg,Abnormal_Tide,Lakshadweep Islands,Fishermen report unusual tidal activity near Lakshadweep Islands
180.jpg,no_hazard,Kochi Harbor,"Sunny weather at Kochi Harbor, peaceful situation"
181.jpg,Tsunami,Kochi Harbor,Tsunami warning issued after unusual waves at Kochi Harbor
182.jpg,Flood,Marina beach Chennai,Shops and houses submerged in water near Marina beach Chennai
183.jpg,High_Waves,Pondicherry Beach,High tides making fishing risky at Pondicherry Beach
184.jpg,Flood,Lakshadweep Islands,Shops and houses submerged in water near Lakshadweep Islands
185.jpg,Tsunami,Tuticorin Coast,Earthquake tremors followed by sea water rushing in at Tuticorin Coast
186.jpg,no_hazard,Odisha Coast,"Sunny weather at Odisha Coast, peaceful situation"
187.jpg,High_Waves,Rameswaram Shore,Unusually strong currents observed at Rameswaram Shore
188.jpg,Abnormal_Tide,Kolkata Coast,Unusual tide patterns observed at Kolkata Coast
189.jpg,no_hazard,Andaman Islands,"Fishing boats operating safely at Andaman Islands, no hazard reported"
190.jpg,no_hazard,Puri Beach,"Fishing boats operating safely at Puri Beach, no hazard reported"
191.jpg,Abnormal_Tide,Nagapattinam,Sudden drop and rise in tides noticed at Nagapattinam
192.jpg,Flood,Tuticorin Coast,Seawater entered houses near Tuticorin Coast after heavy rainfall
193.jpg,Abnormal_Tide,Kovalam Beach Kerala,Sudden drop and rise in tides noticed at Kovalam Beach Kerala
194.jpg,Abnormal_Tide,Visakhapatnam,Fishermen report unusual tidal activity near Visakhapatnam
195.jpg,Flood,Chennai Marina,Roads flooded around Chennai Marina due to rising sea levels
196.jpg,Storm_Surge,Tuticorin Coast,"Dangerous storm surge observed at Tuticorin Coast, authorities alerted"
197.jpg,Flood,Rameswaram Shore,Shops and houses submerged in water near Rameswaram Shore
198.jpg,Abnormal_Tide,Pondicherry Beach,Sudden drop and rise in tides noticed at Pondicherry Beach
199.jpg,Abnormal_Tide,Kochi Harbor,Sudden drop and rise in tides noticed at Kochi Harbor
200.jpg,Storm_Surge,Mumbai Coast,"Dangerous storm surge observed at Mumbai Coast, authorities alerted"
201.jpg,High_Waves,Visakhapatnam,High tides making fishing risky at Visakhapatnam
202.jpg,Flood,Mumbai Coast,Roads flooded around Mumbai Coast due to rising sea levels
203.jpg,High_Waves,Lakshadweep Islands,Unusually strong currents observed at Lakshadweep Islands
204.jpg,Flood,Andaman Islands,Flooding reported in low lying areas of Andaman Islands
205.jpg,Abnormal_Tide,Puri Beach,Unusual tide patterns observed at Puri Beach
206.jpg,Flood,Mumbai Coast,Roads flooded around Mumbai Coast due to rising sea levels
207.jpg,Tsunami,Rameswaram Shore,"Sudden rise of sea water near Rameswaram Shore, tsunami suspected"
208.jpg,Storm_Surge,Odisha Coast,"Cyclone impact causing storm surge at Odisha Coast, water levels rising fast"
209.jpg,Storm_Surge,Mumbai Coast,Strong winds pushing seawater inland near Mumbai Coast
210.jpg,no_hazard,Tuticorin Coast,"A calm evening at Tuticorin Coast, no hazard observed"
211.jpg,High_Waves,Odisha Coast,Unusually strong currents observed at Odisha Coast
212.jpg,Abnormal_Tide,Kanyakumari Beach,Sudden drop and rise in tides noticed at Kanyakumari Beach
213.jpg,no_hazard,Andaman Islands,"A calm evening at Andaman Islands, no hazard observed"
214.jpg,no_hazard,Lakshadweep Islands,"A calm evening at Lakshadweep Islands, no hazard observed"
215.jpg,High_Waves,Pondicherry Beach,"Huge waves crashing near Pondicherry Beach, boats overturned"
216.jpg,Storm_Surge,Marina beach Chennai,Waves reaching inland houses near Marina beach Chennai due to cyclone surge
217.jpg,no_hazard,Mangalore Coast,"Tourists enjoying the beach at Mangalore Coast, everything normal"
218.jpg,High_Waves,Kanyakumari Beach,"Strong waves hitting the shore at Kanyakumari Beach, people moving inland"
219.jpg,Tsunami,Mangalore Coast,Tsunami warning issued after unusual waves at Mangalore Coast
220.jpg,no_hazard,Andaman Islands,"Fishing boats operating safely at Andaman Islands, no hazard reported"
221.jpg,Tsunami,Tuticorin Coast,Tsunami warning issued after unusual waves at Tuticorin Coast
222.jpg,no_hazard,Tuticorin Coast,"Sunny weather at Tuticorin Coast, peaceful situation"
223.jpg,High_Waves,Kolkata Coast,Unusually strong currents observed at Kolkata Coast
224.jpg,Tsunami,Nicobar Islands,"Sudden rise of sea water near Nicobar Islands, tsunami suspected"
225.jpg,Storm_Surge,Lakshadweep Islands,Strong winds pushing seawater inland near Lakshadweep Islands
226.jpg,Storm_Surge,Visakhapatnam,Strong winds pushing seawater inland near Visakhapatnam
227.jpg,no_hazard,Kochi Harbor,"Fishing boats operating safely at Kochi Harbor, no hazard reported"
228.jpg,Abnormal_Tide,Kolkata Coast,Sudden drop and rise in tides noticed at Kolkata Coast
229.jpg,no_hazard,Kolkata Coast,"Sunny weather at Kolkata Coast, peaceful situation"
230.jpg,Abnormal_Tide,Puri Beach,Fishermen report unusual tidal activity near Puri Beach
231.jpg,Flood,Mumbai Coast,Shops and houses submerged in water near Mumbai Coast
232.jpg,Tsunami,Visakhapatnam,"Sudden rise of sea water near Visakhapatnam, tsunami suspected"
233.jpg,Tsunami,Marina beach Chennai,People evacuating Marina beach Chennai due to tsunami threat
234.jpg,High_Waves,Mangalore Coast,"Huge waves crashing near Mangalore Coast, boats overturned"
235.jpg,Tsunami,Marina beach Chennai,People evacuating Marina beach Chennai due to tsunami threat
236.jpg,Tsunami,Odisha Coast,Earthquake tremors followed by sea water rushing in at Odisha Coast
237.jpg,Abnormal_Tide,Puri Beach,Sudden drop and rise in tides noticed at Puri Beach
238.jpg,High_Waves,Rameswaram Shore,"Huge waves crashing near Rameswaram Shore, boats overturned"
239.jpg,Tsunami,Chennai Marina,"Sudden rise of sea water near Chennai Marina, tsunami suspected"
240.jpg,High_Waves,Andaman Islands,"Strong waves hitting the shore at Andaman Islands, people moving inland"
241.jpg,Abnormal_Tide,Lakshadweep Islands,Fishermen report unusual tidal activity near Lakshadweep Islands
242.jpg,High_Waves,Chennai Marina,"Strong waves hitting the shore at Chennai Marina, people moving inland"
243.jpg,Storm_Surge,Nagapattinam,"Cyclone impact causing storm surge at Nagapattinam, water levels rising fast"
244.jpg,Tsunami,Kochi Harbor,Tsunami warning issued after unusual waves at Kochi Harbor
245.jpg,Flood,Visakhapatnam,Flooding reported in low lying areas of Visakhapatnam
246.jpg,Storm_Surge,Kovalam Beach Kerala,Waves reaching inland houses near Kovalam Beach Kerala due to cyclone surge
247.jpg,Abnormal_Tide,Puri Beach,Sudden drop and rise in tides noticed at Puri Beach
248.jpg,no_hazard,Mangalore Coast,"Sunny weather at Mangalore Coast, peaceful situation"
249.jpg,no_hazard,Lakshadweep Islands,"A calm evening at Lakshadweep Islands, no hazard observed"
250.jpg,Abnormal_Tide,Kochi Harbor,Sea level behaving abnormally at Kochi Harbor
251.jpg,no_hazard,Chennai Marina,"Tourists enjoying the beach at Chennai Marina, everything normal"
252.jpg,Tsunami,Kolkata Coast,People evacuating Kolkata Coast due to tsunami threat
253.jpg,no_hazard,Kovalam Beach Kerala,"A calm evening at Kovalam Beach Kerala, no hazard observed"
254.jpg,Abnormal_Tide,Goa Beach,Sea level behaving abnormally at Goa Beach
255.jpg,Tsunami,Kanyakumari Beach,Tsunami warning issued after unusual waves at Kanyakumari Beach
256.jpg,Storm_Surge,Tuticorin Coast,"Cyclone impact causing storm surge at Tuticorin Coast, water levels rising fast"
257.jpg,High_Waves,Nagapattinam,Unusually strong currents observed at Nagapattinam
258.jpg,Tsunami,Mumbai Coast,Tsunami warning issued after unusual waves at Mumbai Coast
259.jpg,no_hazard,Nagapattinam,"Sunny weather at Nagapattinam, peaceful situation"
260.jpg,Abnormal_Tide,Goa Beach,Sea level behaving abnormally at Goa Beach
261.jpg,High_Waves,Lakshadweep Islands,High tides making fishing risky at Lakshadweep Islands
262.jpg,Abnormal_Tide,Nicobar Islands,Fishermen report unusual tidal activity near Nicobar Islands
263.jpg,High_Waves,Marina beach Chennai,Unusually strong currents observed at Marina beach Chennai
264.jpg,High_Waves,Chennai Marina,"Strong waves hitting the shore at Chennai Marina, people moving inland"
265.jpg,no_hazard,Kovalam Beach Kerala,"Fishing boats operating safely at Kovalam Beach Kerala, no hazard reported"
266.jpg,Flood,Odisha Coast,Shops and houses submerged in water near Odisha Coast
267.jpg,Tsunami,Pondicherry Beach,"Sudden rise of sea water near Pondicherry Beach, tsunami suspected"
268.jpg,Abnormal_Tide,Puri Beach,Unusual tide patterns observed at Puri Beach
269.jpg,Storm_Surge,Rameswaram Shore,Waves reaching inland houses near Rameswaram Shore due to cyclone surge
270.jpg,no_hazard,Chennai Marina,"Sunny weather at Chennai Marina, peaceful situation"
271.jpg,Flood,Kovalam Beach Kerala,Seawater entered houses near Kovalam Beach Kerala after heavy rainfall
272.jpg,Flood,Diu Beach,Flooding reported in low lying areas of Diu Beach
273.jpg,Tsunami,Goa Beach,Tsunami warning issued after unusual waves at Goa Beach
274.jpg,no_hazard,Odisha Coast,"Tourists enjoying the beach at Odisha Coast, everything normal"
275.jpg,Storm_Surge,Kovalam Beach Kerala,Waves reaching inland houses near Kovalam Beach Kerala due to cyclone surge
276.jpg,Storm_Surge,Visakhapatnam,Strong winds pushing seawater inland near Visakhapatnam
277.jpg,Tsunami,Nicobar Islands,Tsunami warning issued after unusual waves at Nicobar Islands
278.jpg,High_Waves,Nicobar Islands,High tides making fishing risky at Nicobar Islands
279.jpg,Abnormal_Tide,Kolkata Coast,Fishermen report unusual tidal activity near Kolkata Coast
280.jpg,no_hazard,Goa Beach,"A calm evening at Goa Beach, no hazard observed"
281.jpg,High_Waves,Diu Beach,Unusually strong currents observed at Diu Beach
282.jpg,High_Waves,Mangalore Coast,"Strong waves hitting the shore at Mangalore Coast, people moving inland"
283.jpg,Storm_Surge,Andaman Islands,Waves reaching inland houses near Andaman Islands due to cyclone surge
284.jpg,no_hazard,Kolkata Coast,"A calm evening at Kolkata Coast, no hazard observed"
285.jpg,Flood,Lakshadweep Islands,Roads flooded around Lakshadweep Islands due to rising sea levels
286.jpg,Tsunami,Mumbai Coast,People evacuating Mumbai Coast due to tsunami threat
287.jpg,Tsunami,Andaman Islands,Earthquake tremors followed by sea water rushing in at Andaman Islands
288.jpg,no_hazard,Marina beach Chennai,"Sunny weather at Marina beach Chennai, peaceful situation"
289.jpg,Storm_Surge,Diu Beach,Waves reaching inland houses near Diu Beach due to cyclone surge
290.jpg,Abnormal_Tide,Mangalore Coast,Sea level behaving abnormally at Mangalore Coast
291.jpg,Storm_Surge,Kolkata Coast,Waves reaching inland houses near Kolkata Coast due to cyclone surge
292.jpg,Storm_Surge,Odisha Coast,"Dangerous storm surge observed at Odisha Coast, authorities alerted"
293.jpg,Storm_Surge,Pondicherry Beach,"Cyclone impact causing storm surge at Pondicherry Beach, water levels rising fast"
294.jpg,Storm_Surge,Goa Beach,Strong winds pushing seawater inland near Goa Beach
295.jpg,no_hazard,Mumbai Coast,"Sunny weather at Mumbai Coast, peaceful situation"
